,file_name,average_frequencies
0,1-18810-A-49.wav,5436.0532856032
1,1-18655-A-31.wav,7108.6608558476155
2,1-17367-A-10.wav,3268.5714269789773
3,1-17970-A-4.wav,2248.2733118321257
4,1-17808-A-12.wav,5029.660890119062
5,1-17808-B-12.wav,6455.841047128351
6,1-18755-B-4.wav,2508.396376742368
7,1-18527-A-44.wav,1974.7435950269635
8,1-18631-A-23.wav,1261.7990265519263
9,1-17585-A-7.wav,3930.6037246151636
10,1-17565-A-12.wav,5311.272867735565
11,1-18074-B-6.wav,2506.573168602185
12,1-18074-A-6.wav,2205.209708154506
13,1-17295-A-29.wav,1341.8705702414713
14,1-18527-B-44.wav,1279.0012333473612
15,1-18757-A-4.wav,2194.7381100378598
16,1-17742-A-12.wav,9647.003298201662
